flight_number,launch_year,latitude,longitude,payload_mass_kg,landing_success,landing_type,reused,number_of_cores,number_of_payloads,rocket_name_Falcon Heavy,launch_site_KSC LC 39A,launch_site_VAFB SLC 4E,orbit_GEO,orbit_GTO,orbit_HCO,orbit_HEO,orbit_ISS,orbit_LEO,orbit_MEO,"orbit_MEO,LEO",orbit_PO,orbit_SSO,orbit_TLI,orbit_VLEO,"orbit_VLEO,LEO","orbit_VLEO,SSO"
11,2013,34.632093,-120.610829,500.0,0,Ocean,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
14,2014,28.5618571,-80.577366,2296.0,1,Ocean,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15,2014,28.5618571,-80.577366,1316.0,1,Ocean,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,2014,28.5618571,-80.577366,2216.0,0,Ocean,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19,2015,28.5618571,-80.577366,2395.0,0,ASDS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,2015,28.5618571,-80.577366,570.0,1,Ocean,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2015,28.5618571,-80.577366,1898.0,0,ASDS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25,2015,28.5618571,-80.577366,2034.0,1,RTLS,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,2016,34.632093,-120.610829,553.0,0,ASDS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
27,2016,28.5618571,-80.577366,5271.0,0,ASDS,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,2016,28.5618571,-80.577366,3136.0,1,ASDS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
29,2016,28.5618571,-80.577366,4696.0,1,ASDS,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
30,2016,28.5618571,-80.577366,3100.0,1,ASDS,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
31,2016,28.5618571,-80.577366,3600.0,0,ASDS,0,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
32,2016,28.5618571,-80.577366,2257.0,1,RTLS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33,2016,28.5618571,-80.577366,4600.0,1,ASDS,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
35,2017,34.632093,-120.610829,9600.0,1,ASDS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
36,2017,28.6080585,-80.6039558,2490.0,1,RTLS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
38,2017,28.6080585,-80.6039558,5300.0,1,ASDS,1,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
39,2017,28.6080585,-80.6039558,0.0,1,RTLS,0,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,2017,28.6080585,-80.6039558,2708.0,1,RTLS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
42,2017,28.6080585,-80.6039558,3669.0,1,ASDS,1,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
43,2017,34.632093,-120.610829,9600.0,1,ASDS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
45,2017,28.6080585,-80.6039558,2910.0,1,RTLS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
46,2017,34.632093,-120.610829,475.0,1,ASDS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,2017,28.6080585,-80.6039558,4990.0,1,RTLS,0,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
48,2017,34.632093,-120.610829,9600.0,1,ASDS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
49,2017,28.6080585,-80.6039558,5200.0,1,ASDS,1,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
50,2017,28.6080585,-80.6039558,3700.0,1,ASDS,0,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
51,2017,28.5618571,-80.577366,2205.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
52,2017,34.632093,-120.610829,9600.0,1,Ocean,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
53,2018,28.5618571,-80.577366,0.0,1,RTLS,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
54,2018,28.5618571,-80.577366,4230.0,1,Ocean,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,2018,28.6080585,-80.6039558,1350.0,0,ASDS,0,3,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60,2018,28.5618571,-80.577366,350.0,1,ASDS,0,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
61,2018,28.6080585,-80.6039558,3750.0,1,ASDS,0,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
65,2018,28.5618571,-80.577366,7076.0,1,ASDS,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
66,2018,34.632093,-120.610829,9600.0,1,ASDS,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
67,2018,28.5618571,-80.577366,5800.0,1,ASDS,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
68,2018,28.5618571,-80.577366,7060.0,1,ASDS,0,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
69,2018,34.632093,-120.610829,2800.0,1,RTLS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
70,2018,28.6080585,-80.6039558,3000.0,1,ASDS,1,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
71,2018,34.632093,-120.610829,4000.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
72,2018,28.5618571,-80.577366,2573.0,0,RTLS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74,2019,34.632093,-120.610829,9600.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
