Flight No.,Date and time (UTC),"Version, booster[h]",Launch site,Payload[i],Payload mass,Orbit,Customer,Launch outcome,Booster landing,source_table
195,"January 3, 2023 14:56[17]",F9 B5 B1060‑15,"Cape Canaveral, SLC‑40",Transporter-6 (115 payload smallsat rideshare),Unknown[j],SSO,Various,Success,Success (LZ‑1),0
195,"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]","Dedicated SmallSat Rideshare mission to Sun-synchronous orbit.[18] It included six space tugs, also known as orbital transfer vehicles (OTV), which are two of D-Orbit's ION Satellite Carriers, Epic Aerospace's Chimera LEO 1, Momentus's Vigoride-5, Skykraft's OTV and Launcher's Orbiter SN1.[19][20] Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.[21] This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions.[22]",0
196,"January 10, 2023 04:50[23]",F9 B5 B1076‑2,"Cape Canaveral, SLC‑40",OneWeb 16 (40 satellites),"6,000 kg (13,000 lb)",Polar LEO,OneWeb,Success,Success (LZ‑1),0
196,"Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]","Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced that they had signed an agreement with SpaceX to resume satellite launches.[25] This flight, the 16th of the OneWeb program and the second on a SpaceX rocket, carried 40 satellites.[26][27][28]",0
FH 5,"January 15, 2023 22:56[29]",Falcon Heavy B5 B1070 (core),"Kennedy, LC‑39A",USSF-67 (CBAS-2 & LDPE-3A),"~3,750 kg (8,270 lb)",GEO,USSF,Success,No attempt,0
FH 5,"January 15, 2023 22:56[29]",B1064‑2 (side),"Kennedy, LC‑39A",USSF-67 (CBAS-2 & LDPE-3A),"~3,750 kg (8,270 lb)",GEO,USSF,Success,Success (LZ‑2),0
FH 5,"January 15, 2023 22:56[29]",B1065‑2 (side),"Kennedy, LC‑39A",USSF-67 (CBAS-2 & LDPE-3A),"~3,750 kg (8,270 lb)",GEO,USSF,Success,Success (LZ‑1),0
FH 5,"First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]","First launch of Phase 2 US Air Force contract. US$316 million cost for the fiscal year of 2022, for the first flight,[30] mostly includes the cost of an extended payload fairing, upgrades to the company's West Coast launch pad at Vandenberg Space Force Base in California, and a vertical integration facility required for NRO missions, while the launching price does not increase.[31] SpaceX deliberately expended the center core, which thus lacked grid fins and landing gear, while the two side-boosters were recovered at Landing Zones 1 and 2, and it was the fourth second stage featuring Falcon long coast mission-extension kit as the mission requirements are same as the USSF-44 mission.[32]",0
197,"January 18, 2023 12:24[33]",F9 B5 B1077‑2,"Cape Canaveral, SLC‑40",USA-343 (GPS-III SV06),"4,352 kg (9,595 lb)",MEO,USSF,Success,Success (JRTI),0
197,"Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]","Global Positioning System navigation satellite, sixth GPS Block III satellite to be launched, named after Amelia Earhart. Space vehicle manufacturing contract awarded February 2013.[34] In September 2018, the space vehicle was integrating harnesses.[35] In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[36][37][38]",0
